train,test,model,arm,n_subjects_eval,n_windows_eval,train_events,n_predictors,epv,window_n_mean,window_n_sd,window_prevalence_mean,window_prevalence_sd,window_accuracy_mean,window_accuracy_sd,window_balanced_accuracy_mean,window_balanced_accuracy_sd,window_macro_f1_mean,window_macro_f1_sd,window_mcc_mean,window_mcc_sd,window_auroc_mean,window_auroc_sd,window_auprc_mean,window_auprc_sd,window_brier_mean,window_brier_sd,window_calibration_slope_mean,window_calibration_slope_sd,window_calibration_intercept_mean,window_calibration_intercept_sd,window_ece_mean,window_ece_sd,subject_n_mean,subject_n_sd,subject_prevalence_mean,subject_prevalence_sd,subject_accuracy_mean,subject_accuracy_sd,subject_balanced_accuracy_mean,subject_balanced_accuracy_sd,subject_macro_f1_mean,subject_macro_f1_sd,subject_mcc_mean,subject_mcc_sd,subject_auroc_mean,subject_auroc_sd,subject_auprc_mean,subject_auprc_sd,subject_brier_mean,subject_brier_sd,subject_calibration_slope_mean,subject_calibration_slope_sd,subject_calibration_intercept_mean,subject_calibration_intercept_sd,subject_ece_mean,subject_ece_sd,n_subjects_mean,n_subjects_sd,window_auroc_ci_lo,window_auroc_ci_hi,subject_auroc_ci_lo,subject_auroc_ci_hi,window_accuracy_ci_lo,window_accuracy_ci_hi,subject_accuracy_ci_lo,subject_accuracy_ci_hi,window_macro_f1_ci_lo,window_macro_f1_ci_hi,subject_macro_f1_ci_lo,subject_macro_f1_ci_hi,window_brier_ci_lo,window_brier_ci_hi,subject_brier_ci_lo,subject_brier_ci_hi,window_calibration_slope_ci_lo,window_calibration_slope_ci_hi,subject_calibration_slope_ci_lo,subject_calibration_slope_ci_hi,window_auroc_est,subject_auroc_est,window_accuracy_est,subject_accuracy_est,window_macro_f1_est,subject_macro_f1_est,window_brier_est,subject_brier_est,window_calibration_slope_est,subject_calibration_slope_est,window_calibration_intercept_est,subject_calibration_intercept_est,window_ece_est,subject_ece_est
depresjon,psykose,majority,internal,39,700,16,28,0.5714285714285714,700.0,0.0,0.512857142857143,1.1702778228589004e-16,0.512857142857143,1.1702778228589004e-16,0.5,0.0,0.3389990557129367,0.0,0.0,0.0,0.4748168176508548,0.002102691588215,0.4982839434592138,0.0009104320560362,0.2501159972995803,4.678481305604428e-05,-4.164968453604641,0.0032921703861042,-0.0005574885652886,4.442547350178675e-06,0.0001392621047483,1.112615453759291e-06,39.0,0.0,0.5897435897435896,1.1702778228589004e-16,0.5897435897435896,1.1702778228589004e-16,0.5,0.0,0.3709677419354839,0.0,0.0,0.0,0.4230978260869564,0.0269251902224481,0.5472617056856187,0.01076713826135,0.2485997080392742,0.0002888051552441,-12.9112393101988,4.0989645146682925,0.3104833076848602,0.0001060039007794,0.0766318720442135,2.7972481586200964e-05,39.0,0.0,0.2235029987246275,0.6623774381782433,0.1937608836627266,0.4846962562124724,0.3566474118062762,0.683439408077178,0.4593342636467528,0.6983172390047896,0.2629928179953908,0.4059785401907417,0.3147553236959207,0.4111789327881704,0.2453972164696035,0.253988162358559,0.2454752059811235,0.2517939434419992,-79.23550207465264,64.2476794167391,-94.54636499848112,10.70252523323863,0.465156298359641,0.42255434782608703,0.6528046421663443,0.5818181818181818,0.39496781743709775,0.367816091954023,0.22677358097233546,0.2486778192573529,-9.915762226913824,-29.405117078972932,-0.00021222666544624188,0.30111363195847407,4.810161941154467e-05,0.07097684002428023
depresjon,psykose,majority,external,38,680,16,28,0.5714285714285714,680.0,0.0,0.5088235294117647,0.0,0.5088235294117647,0.0,0.5,0.0,0.3372319688109161,5.851389114294502e-17,0.0,0.0,0.5,0.0,0.5088235294117647,0.0,0.2499384153661465,2.925694557147251e-17,0.0018109119183623,0.0,-0.0161421291237383,3.657118196434065e-18,0.0040336134453783,0.0,38.0,0.0,0.5789473684210528,1.1702778228589004e-16,0.5789473684210528,1.1702778228589004e-16,0.5,0.0,0.3666666666666666,0.0,0.0,0.0,0.5,0.0,0.5789473684210528,1.1702778228589004e-16,0.248135230934479,0.0,0.0163358452094567,3.657118196434065e-18,0.267013819913772,0.0,0.0660902255639096,0.0,38.0,0.0,0.5,0.5,0.5,0.5,0.3432226576134252,0.6683421736128283,0.4545454545454545,0.6956521739130435,0.2555374685025624,0.4006144398173977,0.3125,0.4102564102564102,0.2458365073724048,0.2541967234981037,0.2451342502218277,0.25133413729128,-0.0332956961955131,0.035948359336669,-0.0093529756792272,0.0424121744444894,0.5,0.5,0.5088235294117647,0.5789473684210527,0.33723196881091616,0.36666666666666664,0.24993841536614647,0.248135230934479,0.0018109119183623036,0.01633584520945676,-0.01614212912373834,0.26701381991377204,0.004033613445378337,0.06609022556390964
depresjon,psykose,logreg,internal,39,700,16,28,0.5714285714285714,700.0,0.0,0.512857142857143,1.1702778228589004e-16,0.7145714285714286,0.0142348300125968,0.7139929259346995,0.0138579704899769,0.7139725894498685,0.0139947542469,0.4289428218347931,0.028186317143174,0.7902490626455043,0.0260918525272014,0.768308784766707,0.0200772211558432,0.189520139403142,0.0149529808200362,0.6635812032060673,0.1175307981593309,0.1106547387959862,0.0817124920181358,0.0748494586301102,0.0180115103469632,39.0,0.0,0.5897435897435896,1.1702778228589004e-16,0.8512820512820513,0.0415212232529611,0.8491847826086957,0.0407457701501539,0.8472337742639219,0.0419168939896584,0.6958386692444936,0.0832751405063228,0.9230978260869565,0.0341342519942982,0.9524168626257932,0.0146864773982998,0.1342801042674146,0.0158220777039972,2.685477540926848,0.8834547010927676,0.2762220444812818,0.0640141558822447,0.1791285709684088,0.0204751644897491,39.0,0.0,0.7009231337788054,0.8714255683216668,0.8632487818811453,0.9845352760491778,0.6621620544532815,0.810720226981826,0.76,0.9230769230769232,0.6622017851300765,0.8141596407587905,0.75,0.9505376344086022,0.1448892918235816,0.2327717931630595,0.1032527118090269,0.1571601010664265,0.444241256766914,1.05126817273318,1.9944997953825248,5.278356704186642,0.7794697204167957,0.8994565217391304,0.7195357833655706,0.8181818181818182,0.7024171043177605,0.8151881720430108,0.18667737846435456,0.14712442799218414,0.6905676019576797,2.30574419586347,-0.5142481395366578,-0.262914212945807,0.10182512428620348,0.14774852394757054
depresjon,psykose,logreg,external,38,680,16,28,0.5714285714285714,680.0,0.0,0.5088235294117647,0.0,0.7411764705882353,0.0,0.7407843272991589,0.0,0.7408536585365855,1.1702778228589004e-16,0.4821698432904849,5.851389114294502e-17,0.7790488387387076,1.1702778228589004e-16,0.7051569827301065,0.0,0.1927318711963816,0.0,0.4964916238327371,5.851389114294502e-17,0.0619694071371208,7.314236392868129e-18,0.0794519149548001,0.0,38.0,0.0,0.5789473684210528,1.1702778228589004e-16,0.8947368421052632,0.0,0.8920454545454547,1.1702778228589004e-16,0.8920454545454547,1.1702778228589004e-16,0.7840909090909091,0.0,0.8806818181818181,0.0,0.8576098868686117,0.0,0.1537353485576178,0.0,2.499689492503303,4.681111291435605e-16,0.2275322656778279,2.925694557147251e-17,0.261149479661766,5.851389114294502e-17,38.0,0.0,0.6764531868822571,0.8472630560613685,0.7750748777913393,0.9918248959501996,0.6725482703210598,0.8002883108074726,0.8260869565217391,0.9606000879706283,0.6748177315793333,0.8016648269808409,0.8181818181818181,0.96,0.1591029998837,0.2368485922969216,0.1232185276395638,0.1846132759388656,0.1971936364049002,0.8323524624353236,1.501260783427078,9.378488617223272,0.7790488387387077,0.8806818181818181,0.7411764705882353,0.8947368421052632,0.7408536585365854,0.8920454545454546,0.19273187119638166,0.15373534855761783,0.49649162383273643,2.4996894925033026,0.061969407137121166,0.227532265677828,0.0794519149548001,0.2611494796617661
depresjon,psykose,rf,internal,39,700,16,28,0.5714285714285714,700.0,0.0,0.512857142857143,1.1702778228589004e-16,0.6704285714285715,0.0164137269027787,0.6700230356398926,0.0160639166904645,0.6698922987345086,0.0162607845308509,0.34060325365034,0.0323139205253066,0.7303286254584664,0.0121103184658086,0.697983176149403,0.0192011711418426,0.2168732259814828,0.0071286900304525,0.576095461508505,0.0454292519574601,0.1115561138480711,0.0524269217850105,0.1009036146131294,0.0109812846281466,39.0,0.0,0.5897435897435896,1.1702778228589004e-16,0.6948717948717948,0.0306979230702016,0.6889945652173913,0.0293822625168504,0.687143116194693,0.0301044679506749,0.3758463304209877,0.0596152816473434,0.8298913043478262,0.0207425558499526,0.8794115827734137,0.0151554086596118,0.1708911058755121,0.0089675443623472,1.760078489902821,0.2950952088244267,0.3060326981542416,0.0399649703073621,0.1832754012450113,0.0311317481355472,39.0,0.0,0.6069268902090897,0.8365192720769082,0.7222222222222222,0.9306340216563478,0.5658034356906783,0.750730947118002,0.5714285714285714,0.7916666666666666,0.5702092578318922,0.7567902401689498,0.5713282098085104,0.7963658961441763,0.1624920151747849,0.2621548396414174,0.1361690412991032,0.1996294293990246,0.2788674464165337,1.0236275163699189,1.194883579816653,2.952529790929646,0.77025069637883,0.8831521739130435,0.718568665377176,0.7636363636363637,0.6693309009786198,0.7352832284339134,0.18056787183354084,0.1579384779956821,0.7674609306438869,2.2596951852551803,0.01139323985997758,0.18560496893952286,0.05572061932865775,0.11123373803837977
depresjon,psykose,rf,external,38,680,16,28,0.5714285714285714,680.0,0.0,0.5088235294117647,0.0,0.7147058823529412,0.0024014605321403,0.7134903603198227,0.0024386367535778,0.7127932144326425,0.0025191450014196,0.4315081570274852,0.0046856290952602,0.7754092970129106,0.0020601240722434,0.7708073402911673,0.0049312369178238,0.1927974620143976,0.0008708673424278,0.8007103522608274,0.0086891513704133,-0.0215691360908218,0.0068917778860277,0.0470285733981314,0.0070385802429279,38.0,0.0,0.5789473684210528,1.1702778228589004e-16,0.8578947368421053,0.0135894152498506,0.8431818181818181,0.0117363131703254,0.8502740119302052,0.0133328770526238,0.709776843631434,0.0302745006869086,0.8931818181818182,0.0055541205676572,0.8920457928598537,0.004321181414499,0.1596409578254793,0.0010054824540923,2.922765573727192,0.076634885668543,0.1697448000380682,0.0062111839454686,0.2072531238302407,0.0135038874898112,38.0,0.0,0.6875449007158503,0.8464250905331554,0.8013516930952954,0.9798670721382392,0.6418931000118027,0.7781050201495997,0.782608695652174,0.9260315033078068,0.6373002092978294,0.7789543957393279,0.7732363234258899,0.9505882352941176,0.1607503934010339,0.2282427091969375,0.133688114683345,0.1852428324320625,0.4896980570209522,1.140860063095965,1.9001815805261368,19.942308393928645,0.7760461735488561,0.8892045454545454,0.711764705882353,0.868421052631579,0.7097965440356745,0.8606016140865738,0.19256226074199348,0.15961361840103358,0.8063570713344751,2.9253675405142503,-0.021541647204005004,0.16972735320284274,0.0440319077914528,0.21781756860839133
depresjon,psykose,xgboost,internal,39,700,16,28,0.5714285714285714,700.0,0.0,0.512857142857143,1.1702778228589004e-16,0.6524285714285714,0.0130070624458171,0.6526801395208259,0.0126681338263407,0.6522897150196616,0.012976136984916,0.30548702392728,0.0252114954868196,0.7162597309241213,0.0221636182611819,0.6975340235874754,0.0233128308391493,0.2466180796865242,0.0134717275376618,0.3385237201834558,0.052179330296571,0.2229804889146024,0.0945553252327287,0.1808777332942034,0.0149005765703426,39.0,0.0,0.5897435897435896,1.1702778228589004e-16,0.7051282051282051,0.0217906816820204,0.7043478260869566,0.0231395261545569,0.6996322691530269,0.0223509792330091,0.4042475572630414,0.0448310482855836,0.8282608695652174,0.0261522933806066,0.8885254068558079,0.0131893863867192,0.1718292942223697,0.014956276992838,1.220337461602824,0.3480051484665916,0.3480488774722236,0.0633198995325449,0.2058687913398712,0.0278412638294157,39.0,0.0,0.6083905932889494,0.8252212895178526,0.7183834131538314,0.9214285714285714,0.5483390910679216,0.7457884617502374,0.6,0.8148148148148148,0.5532831171134059,0.7477410170466003,0.6063491038385985,0.8321678321678322,0.1776953465710642,0.3009004674398902,0.130324738637211,0.2054357269877219,0.1722922658742107,0.6232623091041635,0.8951423896817091,2.1439651478640003,0.7641019292272775,0.8736413043478262,0.7195357833655706,0.7818181818181819,0.6724602727276698,0.7587719298245614,0.19212160931706154,0.15462177331902185,0.530732620266184,1.8059953120644927,0.2658557651030875,0.3542042942837963,0.10487517516943909,0.13593808166682625
depresjon,psykose,xgboost,external,38,680,16,28,0.5714285714285714,680.0,0.0,0.5088235294117647,0.0,0.7110294117647059,0.0069410795384834,0.7107135440102454,0.0068677079347746,0.7107519205791794,0.0068697873462146,0.4217934857305446,0.0139198778414922,0.7675547748433769,0.0038913430744136,0.7316898957539262,0.0075771290248366,0.2036847047325007,0.0022627024058529,0.5463965123638456,0.0117803373303814,-0.0141017247147674,0.0162208027469274,0.0902146627429379,0.0065406947771703,38.0,0.0,0.5789473684210528,1.1702778228589004e-16,0.8157894736842106,0.0248107642521595,0.8119318181818184,0.0240984717498749,0.8112251178473695,0.024675178540276,0.62455955098759,0.0492385793831883,0.8857954545454545,0.0066692488112344,0.8780116885744093,0.0176198892241126,0.1496920318039034,0.0020990054616246,2.1196123651090746,0.0683905101118264,0.1921691109416335,0.0136756239884661,0.1855709727265332,0.0058223723820346,38.0,0.0,0.6778283089588045,0.8353182699508592,0.7959183673469388,0.977777777777778,0.644332818921892,0.7811229490396256,0.6923076923076923,0.88,0.6427598647495759,0.7885253702080067,0.6930114329502345,0.8830732800518346,0.164474197143859,0.2485617153265506,0.1175187696981447,0.1821941617820655,0.3403682219351302,0.7773524401932086,1.3901675864052132,7.419119567834158,0.7688813125194697,0.8835227272727273,0.7161764705882353,0.7894736842105263,0.7158513957360388,0.7840909090909092,0.20228104541410546,0.14951138311780585,0.5586008136891388,2.132464781613818,-0.013947960780866665,0.1920204012647534,0.08460064916877945,0.18599852445027407
psykose,depresjon,majority,internal,38,687,16,28,0.5714285714285714,687.0,0.0,0.5036390101892285,0.0,0.4687045123726346,0.0,0.4680512942213483,5.851389114294502e-17,0.4640532794155678,0.0,-0.0649451072984277,0.0,0.4632286881494414,0.0,0.4843488624261364,5.851389114294502e-17,0.2506955326907877,5.851389114294502e-17,-4.073255782505836,9.362222582871205e-16,0.000420196946746,2.5554890278056234e-20,0.0398929250144349,0.0,38.0,0.0,0.5789473684210528,1.1702778228589004e-16,0.4684210526315789,0.01109571108831,0.4539772727272727,0.0131761569173682,0.4537732160312805,0.0136063462047974,-0.0923322154342878,0.0269568588697816,0.4386363636363636,0.0125772406938514,0.5489160018583817,0.0094823969447558,0.2503565391325941,0.0002517136342996,-5.357062374421256,2.260221102724611,0.3049331727448046,0.0010105594853739,0.0755431687445332,0.0002519372644733,38.0,0.0,0.2056662608423709,0.6009866850542749,0.2167331718159079,0.5229196186932478,0.3018774409289725,0.6272195238980607,0.3593141415076311,0.6,0.2748440732575037,0.6091223872703571,0.3125,0.5558634543818414,0.2485796845821195,0.2526432449776439,0.2488284186377926,0.2517889761594205,-56.39792841070702,24.30653050692972,-59.679457876203685,13.123299317431076,0.3899869476039531,0.3678977272727273,0.4556040756914119,0.5,0.40790055859742275,0.4337254901960784,0.25064300143404733,0.2503024766099446,-12.508286310091083,-16.677347453139138,0.000420108639198459,0.304867682990372,0.049649632023163456,0.07554316874453337
psykose,depresjon,majority,external,39,693,16,28,0.5714285714285714,693.0,0.0,0.5180375180375181,0.0,0.5180375180375181,0.0,0.5,0.0,0.341254752851711,0.0,0.0,0.0,0.5,0.0,0.5180375180375181,0.0,0.2498819649713034,0.0,0.0010504476521142,2.2856988727712903e-19,0.0576250977373707,7.314236392868129e-18,0.0143985078482894,0.0,39.0,0.0,0.5897435897435896,1.1702778228589004e-16,0.5897435897435896,1.1702778228589004e-16,0.5,0.0,0.3709677419354839,0.0,0.0,0.0,0.5,0.0,0.5897435897435896,1.1702778228589004e-16,0.2493600867201676,2.925694557147251e-17,0.0052808231357909,9.142795491085161e-19,0.3483491959151611,5.851389114294502e-17,0.0861045795543612,0.0,39.0,0.0,0.5,0.5,0.5,0.5,0.3619953264389678,0.6862716983904781,0.4593342636467528,0.6983172390047896,0.2658942499557016,0.4069916018265422,0.3147553236959207,0.4111789327881704,0.2486575531783416,0.2510176432216568,0.248569885488281,0.2503092084530411,-0.0082500095351848,0.011391003519973,-0.0023723366599519,0.0122154464079038,0.5,0.5,0.5180375180375181,0.5897435897435898,0.34125475285171103,0.3709677419354839,0.24988196497130347,0.24936008672016763,0.0010504476521142239,0.005280823135790934,0.05762509773737074,0.34834919591516106,0.014398507848289444,0.08610457955436124
