source,run,level,n,prevalence,accuracy,balanced_accuracy,macro_f1,mcc,auroc,auprc,brier,calibration_slope,calibration_intercept,ece
E1,depresjon.logreg.subject_wise,window,1034,0.3471953578336557,0.7195357833655706,0.7128113071288559,0.7024171043177605,0.4115432875662223,0.7794697204167957,0.6518333379653346,0.18667737846435456,0.6905676019576797,-0.5142481395366578,0.10182512428620348
E1,depresjon.logreg.subject_wise,subject,55,0.41818181818181815,0.8181818181818182,0.8192934782608696,0.8151881720430108,0.6325987349183444,0.8994565217391304,0.905409368202184,0.14712442799218414,2.30574419586347,-0.262914212945807,0.14774852394757054
E1,depresjon.rf.subject_wise,window,1034,0.3471953578336557,0.718568665377176,0.6625172805117094,0.6693309009786198,0.3498158706819666,0.77025069637883,0.653274263352335,0.18056787183354084,0.7674609306438868,0.01139323985997758,0.05572061932865774
E1,depresjon.rf.subject_wise,subject,55,0.41818181818181815,0.7636363636363637,0.7296195652173914,0.7352832284339134,0.5200221552620031,0.8831521739130435,0.8591405910069638,0.1579384779956821,2.2596951852551803,0.18560496893952289,0.11123373803837977
E1,depresjon.xgboost.subject_wise,window,1034,0.3471953578336557,0.7195357833655706,0.6658660889301558,0.6724602727276698,0.35422036347271146,0.7641019292272775,0.6460270811261551,0.19212160931706154,0.530732620266184,0.2658557651030875,0.10487517516943909
E1,depresjon.xgboost.subject_wise,subject,55,0.41818181818181815,0.7818181818181819,0.7513586956521738,0.7587719298245614,0.5567845705216826,0.8736413043478262,0.8617676693976386,0.15462177331902185,1.8059953120644927,0.3542042942837963,0.13593808166682625
E1,hyperaktiv.logreg.subject_wise,window,502,0.5039840637450199,0.4442231075697211,0.44394971189104243,0.4434258056055603,-0.11235501275411112,0.44925948854707365,0.4840999973703903,0.2793270386370778,-0.2770413423291649,-0.007731606003705139,0.1605518887911765
E1,hyperaktiv.logreg.subject_wise,subject,85,0.5294117647058824,0.4117647058823529,0.40694444444444444,0.4050951847704367,-0.1880006124583281,0.42444444444444446,0.512470871939569,0.26934521961491764,-0.6728308836919369,0.09289536528236654,0.17179382234459795
E1,hyperaktiv.rf.subject_wise,window,502,0.5039840637450199,0.4641434262948207,0.4641570233503183,0.46414129990515984,-0.07168424647063194,0.4429893486991444,0.46802715778983317,0.2806854971944939,-0.44516499090161304,0.004179175345463911,0.13717969072897224
E1,hyperaktiv.rf.subject_wise,subject,85,0.5294117647058824,0.4235294117647059,0.42083333333333334,0.4206426484907498,-0.15859788378236722,0.4238888888888889,0.48528306908208,0.27132327739166306,-0.9290379203392797,0.10468488961170165,0.14701876676317344
E1,hyperaktiv.xgboost.subject_wise,window,502,0.5039840637450199,0.450199203187251,0.4501325459942537,0.4501206502413005,-0.09974440838377664,0.44187818467546075,0.46506078813796414,0.31321732025659244,-0.22902508534044322,0.0007616628192763276,0.22089827804292828
E1,hyperaktiv.xgboost.subject_wise,subject,85,0.5294117647058824,0.49411764705882355,0.4916666666666667,0.4915843650020865,-0.016694514082354443,0.43833333333333335,0.4954175017323779,0.2849055886629806,-0.5290570293745749,0.09763126300653245,0.15730999176614008
E1,psykose.logreg.subject_wise,window,1021,0.3388834476003918,0.8599412340842312,0.8511089702419181,0.8459196455802537,0.6926916464724852,0.9070819952900877,0.8790782842151053,0.11233262398213995,0.9483909093407618,-0.5912854226495716,0.08829047771770182
E1,psykose.logreg.subject_wise,subject,54,0.4074074074074074,0.9444444444444444,0.9460227272727273,0.9428571428571428,0.8863975545774782,0.9744318181818182,0.9781203644840006,0.07319712918612449,2.879695202984562,-0.2254022672214584,0.15444846622359612
E1,psykose.rf.subject_wise,window,1021,0.3388834476003918,0.861900097943193,0.8363904945407836,0.842786705325405,0.68706804328496,0.8925497752087348,0.8492600152611203,0.11515985255863088,1.0286656812673634,-0.11744039608456132,0.05207005581314604
E1,psykose.rf.subject_wise,subject,54,0.4074074074074074,0.8888888888888888,0.8778409090909092,0.8831168831168831,0.7689017447295385,0.9559659090909092,0.9602322783542878,0.09071597671286452,2.4552054030055284,0.14815184623955774,0.1634015311958474
E1,psykose.xgboost.subject_wise,window,1021,0.3388834476003918,0.871694417238002,0.8445022479126525,0.8530119952304809,0.7086024061010248,0.9030657246842217,0.8670648000468894,0.10282062533828422,0.7811574135649525,0.1440182788939029,0.051572890623458365
E1,psykose.xgboost.subject_wise,subject,54,0.4074074074074074,0.9444444444444444,0.9389204545454546,0.9420393559928444,0.8847804709079637,0.96875,0.9741243604879968,0.06937743066086029,2.174758197148062,0.31332609260323113,0.13464733254892666
