cohort,model,variant,n_features,splitter,resample,window_n_mean,window_n_sd,window_prevalence_mean,window_prevalence_sd,window_accuracy_mean,window_accuracy_sd,window_balanced_accuracy_mean,window_balanced_accuracy_sd,window_macro_f1_mean,window_macro_f1_sd,window_mcc_mean,window_mcc_sd,window_auroc_mean,window_auroc_sd,window_auprc_mean,window_auprc_sd,window_brier_mean,window_brier_sd,window_calibration_slope_mean,window_calibration_slope_sd,window_calibration_intercept_mean,window_calibration_intercept_sd,window_ece_mean,window_ece_sd,subject_n_mean,subject_n_sd,subject_prevalence_mean,subject_prevalence_sd,subject_accuracy_mean,subject_accuracy_sd,subject_balanced_accuracy_mean,subject_balanced_accuracy_sd,subject_macro_f1_mean,subject_macro_f1_sd,subject_mcc_mean,subject_mcc_sd,subject_auroc_mean,subject_auroc_sd,subject_auprc_mean,subject_auprc_sd,subject_brier_mean,subject_brier_sd,subject_calibration_slope_mean,subject_calibration_slope_sd,subject_calibration_intercept_mean,subject_calibration_intercept_sd,subject_ece_mean,subject_ece_sd,n_subjects_mean,n_subjects_sd,window_auroc_est,window_auroc_ci_lo,window_auroc_ci_hi,subject_auroc_est,subject_auroc_ci_lo,subject_auroc_ci_hi,window_accuracy_est,window_accuracy_ci_lo,window_accuracy_ci_hi,subject_accuracy_est,subject_accuracy_ci_lo,subject_accuracy_ci_hi,window_macro_f1_est,window_macro_f1_ci_lo,window_macro_f1_ci_hi,subject_macro_f1_est,subject_macro_f1_ci_lo,subject_macro_f1_ci_hi,window_brier_est,window_brier_ci_lo,window_brier_ci_hi,subject_brier_est,subject_brier_ci_lo,subject_brier_ci_hi,window_calibration_slope_est,window_calibration_slope_ci_lo,window_calibration_slope_ci_hi,subject_calibration_slope_est,subject_calibration_slope_ci_lo,subject_calibration_slope_ci_hi,window_calibration_intercept_est,window_calibration_intercept_ci_lo,window_calibration_intercept_ci_hi,subject_calibration_intercept_est,subject_calibration_intercept_ci_lo,subject_calibration_intercept_ci_hi,window_ece_est,window_ece_ci_lo,window_ece_ci_hi,subject_ece_est,subject_ece_ci_lo,subject_ece_ci_hi
depresjon,logreg,all_features,28,subject_wise,none,1034.0,0.0,0.3471953578336557,0.0,0.7193423597678917,0.01044756036812877,0.7172272774166923,0.009270475325381932,0.7042272651713867,0.010018921648889066,0.41826970533747493,0.018629511421009857,0.7752699886516042,0.003959202692150298,0.61583810602107,0.009808905466499663,0.19236548011467286,0.0030271477812603828,0.5695008963129011,0.03796707235153081,-0.5818523009851532,0.05367911742116759,0.10721257662937529,0.006134620703204719,55.0,0.0,0.41818181818181815,0.0,0.8181818181818181,0.03401506715249033,0.820516304347826,0.03933594039648962,0.8151389248676579,0.035689332147250195,0.6354715537604114,0.07551905011843064,0.8964673913043478,0.011899257633593093,0.8870082308563674,0.02304734418960805,0.14925997209809663,0.002870354665693044,2.278571754474627,0.21600799453111177,-0.3063121670221629,0.04343911908035863,0.1650755728250731,0.033748215758949256,55.0,0.0,0.7847601361807489,0.6942167519245067,0.8525902896684091,0.9021739130434783,0.82618936340379,0.9587018582165937,0.7205029013539652,0.6516357736082472,0.7793948737256151,0.8181818181818182,0.7385674400527628,0.8888888888888888,0.7055515648848568,0.6325080446872555,0.7661916291627721,0.8166666666666667,0.7365005520693081,0.8948652143285326,0.18676212155413607,0.1551640944805515,0.22537912400345367,0.14708660469190038,0.1253530989308163,0.17220621486357265,0.7088230422620947,0.4381597599956058,0.9995611694575478,2.549659821048448,1.8336862666988816,4.106405630053848,-0.5612755432263472,-1.2150275423569534,0.1673817315866239,-0.30281485887093296,-0.7082781407946784,0.04398496860779855,0.10348669664501448,0.049849359057348996,0.18018265256785843,0.14560178702010665,0.11352068522017483,0.16238425833343736
depresjon,logreg,drop_distributional,16,subject_wise,none,1034.0,0.0,0.3471953578336557,0.0,0.7063829787234042,0.007992631919301505,0.7011723924481585,0.005740163604660699,0.6897608591931356,0.006926195055609093,0.38804568413918966,0.011942469229446194,0.7539903022799959,0.009391737413572916,0.6058605225797287,0.009634978212203209,0.20099971011225146,0.004697831242953106,0.6039128038861747,0.03178309280582132,-0.6058949606039569,0.027141512483606606,0.12103975222274162,0.0069285276799906535,55.0,0.0,0.41818181818181815,0.0,0.8436363636363637,0.020730462274529755,0.8460597826086957,0.018546320074435303,0.841202616972469,0.020410335787044005,0.6858854163781551,0.038282460671269225,0.8793478260869566,0.004444409574401094,0.8769854010528387,0.005574027515626235,0.16094865925532897,0.003206722587923267,2.253608181557434,0.049467675365007166,-0.32107296939538965,0.023438649777152654,0.22764209460180435,0.024508523029189273,55.0,0.0,0.7582626637779842,0.649110744292488,0.8370410717326144,0.8899456521739131,0.8069800623464587,0.9625,0.7079303675048356,0.6338234248207019,0.7618668973046597,0.8363636363636363,0.7631578947368421,0.9117647058823529,0.6904068845177664,0.6159929548773851,0.7476482693121413,0.8343927735028438,0.7592320731029175,0.9110723626852659,0.19814116539950935,0.1665839770151668,0.24206905238997342,0.16019010752552787,0.1357686110149277,0.18655813571485497,0.6941770010840226,0.282850204912538,1.058334610962887,2.3247639124178856,1.544636722569764,4.519929266520466,-0.5964988233967653,-1.2538125857281235,0.1170541693552114,-0.32008214442086685,-0.7007805401936719,0.05035190945560715,0.11905648951693555,0.05273977633976792,0.19484248461001846,0.24138655274665446,0.17894880234551702,0.2972123115681773
depresjon,logreg,only_distributional,12,subject_wise,none,1034.0,0.0,0.3471953578336557,0.0,0.6965183752417794,0.014383746570660143,0.6983113587124729,0.017693387797201594,0.6828050012106577,0.015669370817943055,0.3799543016295985,0.03337781113245136,0.7489000309501702,0.008296086064221594,0.5907373748557034,0.013353371938935814,0.2032135184389389,0.00195201454949501,0.7147431578064556,0.02282069738274756,-0.591474800848778,0.039294231652296424,0.12388425584189384,0.007488922972104531,55.0,0.0,0.41818181818181815,0.0,0.7381818181818183,0.027574092523823826,0.7358695652173912,0.026035069265125572,0.7333491204451368,0.027114276680893296,0.46846441408724687,0.05344986212383144,0.8336956521739131,0.008517623923183386,0.8424014110776878,0.014057311308487041,0.1784628330582686,0.0015911674760434812,2.1007898583628215,0.09309459272434288,-0.33529319471681795,0.034258732631301664,0.1654755062020113,0.02048457600953259,55.0,0.0,0.7552666873001135,0.6524798011168383,0.8362046983699897,0.8383152173913044,0.7480632074335399,0.9183158116382123,0.7040618955512572,0.6283545122109873,0.7670918986425889,0.7272727272727273,0.6388888888888888,0.8096146227762355,0.6897610680555991,0.6129549060311812,0.7574146168532243,0.7213779128672746,0.637975677017292,0.8124755070769546,0.20006746537356665,0.17065991573704709,0.23640470499166158,0.17683849812962488,0.15332173097356058,0.20028710877402084,0.7928577436285795,0.36532305174459934,1.2197548745082587,2.2664301343597035,1.5960690875320618,3.3053128113869437,-0.582422391560851,-1.1717628147145125,0.04272423156467735,-0.33290973251090794,-0.7415943628037812,0.0344541594854785,0.11498091726980132,0.06016883406670876,0.18823995144867203,0.16848816358808344,0.09880909234931932,0.20437298418628716
depresjon,logreg,drop_day_night,24,subject_wise,none,1034.0,0.0,0.3471953578336557,0.0,0.7203094777562862,0.008633931961572788,0.719272051996286,0.01163734809326081,0.7055834435273616,0.009810551227986651,0.4218368166072888,0.021477297044115193,0.7701735272877335,0.003901485427559777,0.6231562826158218,0.014662092582560187,0.19327805992967068,0.0028814874948103236,0.6375197540125181,0.020189656624921948,-0.5839678436028076,0.059260573560649024,0.11569977110022442,0.008595887280986468,55.0,0.0,0.41818181818181815,0.0,0.7963636363636365,0.029875775863918163,0.7944293478260869,0.03312682789121556,0.7920363406495758,0.03150359023250984,0.5851801444102113,0.06385822530707481,0.8864130434782609,0.017121721741329775,0.8860447967127388,0.02239808875703002,0.15487543321386035,0.003638978773313623,2.2949594203519674,0.22905346992640627,-0.313268278331115,0.04651866640607884,0.17844573633411326,0.02163866461388842,55.0,0.0,0.7813514907665327,0.6866687523897111,0.8495349330980406,0.8926630434782609,0.8110866856405939,0.9523809523809524,0.7253384912959381,0.6537268696077967,0.781974712315341,0.7636363636363637,0.6764705882352942,0.8484848484848485,0.7099728200752189,0.6378769030762541,0.7707765105629011,0.7585275244849713,0.6654568767020494,0.8435972629521017,0.18785336365415867,0.1569332893496189,0.2277026501754317,0.15226066049286868,0.1299111790758515,0.17732314748225617,0.7422524023842141,0.41079789514313286,1.0529664507157057,2.605763809866565,1.8349519288285157,4.303276449770625,-0.5658403139153725,-1.2176512573666844,0.11763196119627412,-0.30951997948936905,-0.6984687069095932,0.03422403471212259,0.10836263726436399,0.04844314759453008,0.1786713398444823,0.1760115079692107,0.1156347906277422,0.21410438935191287
depresjon,logreg,only_day_night,4,subject_wise,none,1034.0,0.0,0.3471953578336557,0.0,0.5121856866537717,0.022542356501677477,0.524916537707624,0.02624681409777067,0.5049898715442825,0.023188992877439495,0.04764267462612739,0.050098431985384294,0.47784751882802023,0.02937941652827495,0.306161404396892,0.011618871893861458,0.25894778003469343,0.0063463605333384686,-0.07067277072236312,0.19765546928951191,-0.6359057129566406,0.015145951253195615,0.1524372745457884,0.007502565542397492,55.0,0.0,0.41818181818181815,0.0,0.5672727272727273,0.0708857770531561,0.5669836956521739,0.07359347124925639,0.5624034525024604,0.07145977322253297,0.13290715171920306,0.1456045029146692,0.5684782608695652,0.07040744613442546,0.4703982878978114,0.04529118741431592,0.24571014413710152,0.005658224148735807,1.226674788953408,1.3316069564455961,-0.29470882917455554,0.013717991590840965,0.09086336520672575,0.014621641399429213,55.0,0.0,0.4579758588672238,0.35795021363343493,0.5414504111635026,0.5774456521739131,0.4630902001650854,0.6986296568591515,0.5067698259187621,0.41660146402391723,0.5864885012764882,0.6181818181818182,0.5273678768403463,0.7213737993014904,0.5028339989365433,0.41710267860756783,0.5861751402531488,0.6161515453639083,0.5181091572916156,0.7215994638157166,0.25738092465054924,0.24693509794770133,0.27231940223822426,0.24522049847038535,0.23672701522746417,0.25229940442142706,-0.0685851708189474,-1.0143948719652904,0.6238338164128405,1.610133495650976,-0.8210977636874296,4.737869420660846,-0.6316688530905236,-1.2489236110848865,-0.040665831204236676,-0.2941526929484434,-0.7225149038583151,0.09896590445254934,0.14859765425766802,0.052028127954533585,0.26969977543067614,0.08597318502733352,0.008937681238563299,0.1442596272109586
depresjon,logreg,drop_circadian,22,subject_wise,none,1034.0,0.0,0.3471953578336557,0.0,0.7247582205029014,0.007256607923521862,0.7241138966264314,0.008639510419300625,0.7102802870738578,0.007774907446261729,0.4311367746883626,0.016299047292624023,0.7875386361291653,0.004754896363462048,0.6467452414445523,0.011369635265840764,0.18565862894857665,0.002018807071263172,0.6547772168238825,0.043076188228994956,-0.5808840835494319,0.03835482028158705,0.10660745887249781,0.006288122736687268,55.0,0.0,0.41818181818181815,0.0,0.8145454545454547,0.02696799449852965,0.8186141304347825,0.03125000000000003,0.812012741045011,0.028096002083199727,0.6308067745548611,0.06033641776186283,0.90625,0.007864019635047702,0.9024332621096163,0.0074241420913294855,0.1461871377884201,0.001710143147793168,2.5041461008689123,0.17963116982574426,-0.3199055351279903,0.03491369665004359,0.16247640255921755,0.01792487001842953,55.0,0.0,0.7966821417517796,0.7084515342584682,0.8634836873999088,0.90625,0.8342863682376674,0.9624980672984771,0.7263056092843327,0.6575499963336526,0.7875092347723884,0.8,0.7105263157894737,0.8685642505410871,0.7119280957279766,0.6344416827142787,0.7745842577212099,0.7975911676145868,0.7092216643418855,0.8786398104990644,0.18123135846260435,0.15025261171335746,0.21965213253395452,0.1446026024624531,0.1227906357356595,0.16917512764175455,0.7848974133354576,0.4713589111730368,1.0968071328800435,2.72110019092731,2.0046308065471465,4.52607470369109,-0.5653424140038413,-1.194675961560668,0.1253586837236143,-0.3172886693297735,-0.7181776507843581,0.03134645885441025,0.10269446266232499,0.044766078380557676,0.17613313160752136,0.16717827078791164,0.10037532249117517,0.2148593679640285
depresjon,logreg,only_circadian,6,subject_wise,none,1034.0,0.0,0.3471953578336557,0.0,0.6104448742746614,0.009005109746216464,0.6193450943980192,0.010366410073799232,0.6001803156216672,0.009399005315354904,0.22730158258923927,0.019734406163661112,0.6386320024760136,0.009798322599612296,0.44652916045451035,0.013136801339684962,0.24048630164507326,0.0036315571678364523,0.5235120752151737,0.10250016396955755,-0.6290091041722174,0.015831330660087056,0.15390728718012042,0.004201140681990418,55.0,0.0,0.41818181818181815,0.0,0.7345454545454546,0.016262312563634838,0.7400815217391303,0.013195795988937673,0.7323950903201522,0.015373967724674491,0.4742692156230503,0.02599261736309762,0.7845108695652174,0.01550937845122398,0.7688781855264814,0.0459403662636225,0.22292375957023433,0.0029454585976655128,2.354830006637589,0.22364444894264632,-0.32599872225508797,0.01335330174620226,0.2149015056578944,0.014520649404094465,55.0,0.0,0.6402558547405344,0.5331480465411014,0.7219081562402605,0.782608695652174,0.6724432437321007,0.8779576229233096,0.6073500967117988,0.5418173450312223,0.6629934909397387,0.6909090909090909,0.6111111111111112,0.7837837837837838,0.5964416451335055,0.5383811817054861,0.6593409687069538,0.6892655367231638,0.609907120743034,0.788183816939237,0.2389059264058598,0.21774932118511064,0.26789217787691805,0.22249672584960464,0.20557015172974663,0.23934857004098672,0.5914019116693428,0.00359496511649662,1.1337869264049183,2.4786279010920222,0.8551244150063599,5.610681338966382,-0.6246128666942607,-1.208838714038271,0.0031990779136666474,-0.32543735580723815,-0.7259184877811802,0.04395238458787103,0.15196620985188067,0.06541008733818436,0.23989193362849057,0.1963099843809982,0.12607287501626616,0.2680932923681327
depresjon,logreg,drop_temporal_spectral,22,subject_wise,none,1034.0,0.0,0.3471953578336557,0.0,0.709284332688588,0.0054106772652608975,0.712914061694006,0.005203371443601247,0.6963856546206812,0.005163080821441269,0.40782409909515793,0.009954198982621922,0.7631878675332714,0.0052663042235133834,0.5844367118730254,0.009022367450894582,0.19731197581080392,0.0029502062032566155,0.6072292307427768,0.044148496460922275,-0.5753310592219998,0.04966263806654191,0.10814339909065762,0.007332719158638731,55.0,0.0,0.41818181818181815,0.0,0.7745454545454546,0.016262312563634838,0.7744565217391304,0.01859229916223374,0.7707323169524944,0.0171341949300224,0.5439956327182955,0.03558846432031375,0.8899456521739129,0.008152173913043497,0.8725056449051906,0.024790169154100847,0.158073632270663,0.002688383152268113,2.5340652339308583,0.28442107688457263,-0.29831587436766355,0.042006217083117144,0.1781517522700064,0.02270762888820308,55.0,0.0,0.7705189311874548,0.6777178392110228,0.8398671433114648,0.8899456521739131,0.8106960042586693,0.951557698984758,0.706963249516441,0.6294759240129053,0.7637907823335724,0.7818181818181819,0.7058823529411765,0.8571428571428571,0.6934623659701369,0.6169503896224562,0.7583417898313328,0.7782258064516129,0.6963367117499165,0.8566672618391908,0.19299256820428384,0.16088466563863396,0.23099931679262437,0.15638856086308012,0.1346510341018321,0.17845761656752884,0.7319097808013209,0.4055388731165412,1.0240169410013016,2.7871814434711233,1.9175618891644184,4.615656540629882,-0.5607552181138862,-1.2055147341245347,0.12452527514334774,-0.29572229277341777,-0.7092956995672637,0.05037013290732421,0.101979262004773,0.04017196531254289,0.18138331949017336,0.15757129321286986,0.0999263508507575,0.2013881056472001
depresjon,logreg,only_temporal_spectral,6,subject_wise,none,1034.0,0.0,0.3471953578336557,0.0,0.6806576402321085,0.006852220341941335,0.6935962034457855,0.006497405174991161,0.6711938974305001,0.006664500025263815,0.368897659078,0.012459339820871272,0.7393504590941917,0.0032933209224568147,0.6518784670606583,0.008196389713361896,0.21232993725424487,0.0013640530527210318,0.82960727429836,0.034397266951095386,-0.6272835755626927,0.009907993631935712,0.17960950230748926,0.007038187141020334,55.0,0.0,0.41818181818181815,0.0,0.8036363636363637,0.026967994498529657,0.8129076086956522,0.023175620272173944,0.8024511781080689,0.026353529263498317,0.6180989870425124,0.04519798198259035,0.8747282608695652,0.00364576300679311,0.9068304348626295,0.003705686828163798,0.19246244666246193,0.00060354469138809,2.2546068195285285,0.07170558418004712,-0.3851934764343039,0.01044524296287035,0.2889436719751258,0.012153802895202565,55.0,0.0,0.740220777880945,0.5514874769449853,0.8292093601992785,0.8736413043478259,0.774526773781784,0.9671180146038943,0.688588007736944,0.6073349472908712,0.7496788866112682,0.8545454545454545,0.7837837837837838,0.9220571724743939,0.6788559699678614,0.5910353936545597,0.7403863265685325,0.8521505376344086,0.7810179840064955,0.936616246999926,0.2114875308087235,0.1855038847682695,0.26516375753458965,0.19213464922047244,0.16802105304976103,0.22186670762242508,0.8530686823095011,0.06833688961831635,1.592886030579371,2.2880361023275038,0.8609652000485852,6.5684642575920265,-0.6248269896670017,-1.1862986044978432,-0.012679210931909761,-0.38463183908251597,-0.7731320068751204,-0.0023443644780337977,0.17779564502760492,0.10370772749073977,0.24892677143675818,0.2914063871055209,0.23354898546138597,0.33617266551062647
depresjon,logreg,all_features+smote_in_fold,28,subject_wise,smote,1034.0,0.0,0.3471953578336557,0.0,0.7187620889748549,0.011307425070068865,0.7137835551428866,0.010193231953260627,0.702413291591168,0.010901909459453204,0.4127503136548535,0.020571757244450584,0.7745725781491799,0.0036389739621803855,0.6123803396899424,0.012893496932773887,0.19322815250549466,0.0035539392457656694,0.534019528349035,0.04562457262813858,-0.5597641574070329,0.07707773958285026,0.10626309262341013,0.007559422608237672,55.0,0.0,0.41818181818181815,0.0,0.8,0.02874797872880342,0.7999999999999999,0.03210448613342539,0.7961702773934507,0.029955071018971633,0.596150783295013,0.06192670958280276,0.8953804347826088,0.01021283721356855,0.8812771129284975,0.024861672826071088,0.14796487190082275,0.0034784880897847916,2.143619635495284,0.1875404370368728,-0.28051497756669463,0.05746749191028659,0.1464507149384175,0.024145288517238954,55.0,0.0,0.7864974724027649,0.6968669900034661,0.8518958483487014,0.8994565217391304,0.8215742243603824,0.9543789077536068,0.7243713733075435,0.6559653108769582,0.784398089291354,0.7818181818181819,0.6944444444444444,0.8595182901971594,0.7079764668809104,0.6348088102800697,0.7688794495574893,0.7782258064516129,0.6846846846846847,0.8545951332506786,0.18618288578935369,0.1543224542712275,0.22603303116749832,0.1452055953197653,0.12256629491094691,0.1708829156484999,0.6811107314934135,0.4284553375749235,0.9343177026058926,2.470498730273387,1.7886411217716285,3.88886951990096,-0.534115932939221,-1.211750869193271,0.19307386843875515,-0.27650437056862015,-0.6840056027437038,0.07664866511842527,0.09742688596461346,0.04174036095279193,0.15815054139732718,0.13366549852695056,0.09159355246057115,0.15968969581032968
