cohort,model,splitter,n_subjects,n_windows,window_n_mean,window_n_sd,window_prevalence_mean,window_prevalence_sd,window_accuracy_mean,window_accuracy_sd,window_balanced_accuracy_mean,window_balanced_accuracy_sd,window_macro_f1_mean,window_macro_f1_sd,window_mcc_mean,window_mcc_sd,window_auroc_mean,window_auroc_sd,window_auprc_mean,window_auprc_sd,window_brier_mean,window_brier_sd,window_calibration_slope_mean,window_calibration_slope_sd,window_calibration_intercept_mean,window_calibration_intercept_sd,window_ece_mean,window_ece_sd,subject_n_mean,subject_n_sd,subject_prevalence_mean,subject_prevalence_sd,subject_accuracy_mean,subject_accuracy_sd,subject_balanced_accuracy_mean,subject_balanced_accuracy_sd,subject_macro_f1_mean,subject_macro_f1_sd,subject_mcc_mean,subject_mcc_sd,subject_auroc_mean,subject_auroc_sd,subject_auprc_mean,subject_auprc_sd,subject_brier_mean,subject_brier_sd,subject_calibration_slope_mean,subject_calibration_slope_sd,subject_calibration_intercept_mean,subject_calibration_intercept_sd,subject_ece_mean,subject_ece_sd,n_subjects_mean,n_subjects_sd,window_auroc_ci_lo,window_auroc_ci_hi,subject_auroc_ci_lo,subject_auroc_ci_hi,window_accuracy_ci_lo,window_accuracy_ci_hi,subject_accuracy_ci_lo,subject_accuracy_ci_hi,window_macro_f1_ci_lo,window_macro_f1_ci_hi,subject_macro_f1_ci_lo,subject_macro_f1_ci_hi,window_brier_ci_lo,window_brier_ci_hi,subject_brier_ci_lo,subject_brier_ci_hi,window_calibration_slope_ci_lo,window_calibration_slope_ci_hi,subject_calibration_slope_ci_lo,subject_calibration_slope_ci_hi,window_auroc_est,subject_auroc_est,window_accuracy_est,subject_accuracy_est,window_macro_f1_est,subject_macro_f1_est,window_brier_est,subject_brier_est,window_calibration_slope_est,subject_calibration_slope_est,window_calibration_intercept_est,subject_calibration_intercept_est,window_ece_est,subject_ece_est
depresjon,logreg,inflation,,,,,,,,,,,,,,,0.0651356649128235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0241640706198495,0.1216498250832097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
depresjon,logreg,inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0652173913043479,,,,,,,,,,,,,,,,0.010989010989011,0.1088816463040065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
depresjon,logreg,inflation,,,,,,,0.051257253384913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0237793113171837,0.0841611515170192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
depresjon,logreg,inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0545454545454544,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.1142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,
depresjon,logreg,inflation,,,,,,,,,,,0.0578158354014555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0269816100359367,0.0928479269711943,,,,,,,,,,,,,,,,,,,,,,,,
depresjon,logreg,inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0560062073480899,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.1157981803143093,,,,,,,,,,,,,,,,,,,,,,
depresjon,rf,subject_wise,55.0,1034.0,1034.0,0.0,0.3471953578336557,0.0,0.7238878143133463,0.0150741539854779,0.6727855153203343,0.0149086937336748,0.6793368485228747,0.0160182726122388,0.366692101104195,0.0334141892409234,0.7617034973692356,0.0172368241075558,0.6423889636745199,0.0191360680426734,0.1854318050060102,0.006964058162349,0.6854949785527913,0.0719767447200334,0.0122069399536232,0.0500198194644769,0.0606612677013212,0.0146177939066756,55.0,0.0,0.4181818181818181,0.0,0.7745454545454546,0.0245435839167473,0.7444972826086957,0.0256147064573485,0.7512085764825491,0.0274939526415671,0.5399134635826492,0.0560729980351198,0.864945652173913,0.027853813179395,0.8391081301706909,0.0291649351197981,0.1608458769074409,0.0062370507036171,1.9539069431128973,0.3632497421770668,0.1888841438400839,0.0443068054763739,0.1395287462100393,0.016535189633278,55.0,0.0,0.6809356578686305,0.848063656966458,0.8125,0.9481660666921904,0.6245014213973291,0.8030733099846418,0.6764705882352942,0.8529411764705882,0.5843176548774074,0.7544544560116421,0.640326538050105,0.8367190466277382,0.1408904125328313,0.2372480807975471,0.1261983368615025,0.1880683549515479,0.4868810064286169,1.0976472808417352,1.6037889523157638,3.5362885535953126,0.77025069637883,0.8831521739130435,0.718568665377176,0.7636363636363637,0.6693309009786198,0.7352832284339134,0.18056787183354084,0.1579384779956821,0.7674609306438868,2.2596951852551803,0.01139323985997758,0.18560496893952289,0.05572061932865774,0.11123373803837977
depresjon,rf,record_wise,55.0,1034.0,1034.0,0.0,0.3471953578336557,0.0,0.8058027079303676,0.004948184101702,0.7771249355204788,0.0075789928083776,0.7818112556945375,0.0065056868990274,0.5650115897010142,0.0123802049206049,0.8740610750025791,0.0043673855120391,0.799101099520591,0.0070830123016244,0.1357564586702045,0.0019515806536877,1.2270359628565717,0.0380626886925508,-0.1094179144575811,0.014775574594623,0.0389706458392588,0.0054829415628796,55.0,0.0,0.4181818181818181,0.0,0.8818181818181818,0.0095826595762678,0.8605298913043479,0.0097822417570741,0.8724364082912244,0.0102880001070517,0.7688168974679996,0.0216126225221307,0.9769021739130432,0.0018115942028985,0.9686912884114156,0.0024685771541553,0.113089557736557,0.00151333810358,4.867513159172285,0.3365558903173518,0.0834497471777128,0.0138824212188249,0.1850349286106471,0.0057899461358006,55.0,0.0,0.82332022000136,0.9225078782631324,0.9487179487179488,1.0,0.7599753475986127,0.8636169126926189,0.8333333333333334,0.9497862566134234,0.7420593653045036,0.8424416046034191,0.8193979933110368,0.9637031809190172,0.1073993290809075,0.1659161963914975,0.0922060269784192,0.1320578927450945,0.9764201693097236,1.6767766491582816,3.753572401056799,7.577207129455721,0.877280511709481,0.9769021739130435,0.8143133462282398,0.8909090909090909,0.7918024741074463,0.8821428571428571,0.1340855206565157,0.11295764496113057,1.2894148529340592,4.875158498925807,-0.10826012723269131,0.0834095185677055,0.048583657266889325,0.18219652229688044
depresjon,rf,inflation,,,,,,,,,,,,,,,0.1070298153306509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0578277764285865,0.1684553987558163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
depresjon,rf,inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09375,,,,,,,,,,,,,,,,0.0413399570354457,0.146153846153846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
